Name|Species|Status|Locations
Arakni|Unknown|Alive|[About](../heroes-of-rathe/arakni-about.md), [The Blood Stained Web](../main-story/09-dynasty/the-blood-stained-web.md), [Squeakers' Christmas](../main-story/10-outsiders/squeakers-christmas.md), [The Spider's Trap](../main-story/10-outsiders/the-spiders-trap.md)
Aurora|Human|Alive|[About](../heroes-of-rathe/aurora-about.md), [Secret of the Aetherscribes](../main-story/16-rosetta/secret-of-the-aetherscribes.md)
Azalea|Human|Alive|[About](../heroes-of-rathe/azalea-about.md), [A Bird in the Hand](../main-story/02-arcane-rising/a-bird-in-the-hand.md), [Squeaker's Christmas](../main-story/10-outsiders/squeakers-christmas.md)
Benji|Human|Unknown|[About](../heroes-of-rathe/benji-about.md)
Betsy|Human|Alive|[About](../heroes-of-rathe/betsy-about.md), [Bloodied Sands](../main-story/14-heavy-hitters/bloodied-sands.md), [Deathmatch Wrecking Ball](../main-story/14-heavy-hitters/deathmatch-wrecking-ball.md)
Boltyn|Human|Alive|[About](../heroes-of-rathe/boltyn-about.md), [Origin Story](../main-story/04-monarch/sworn-to-protect.md), [Step Into the Light](../main-story/04-monarch/step-into-the-light.md), [Morlock Hill](../main-story/07-interlude/morlock-hill.md), [Tidings in the Light](../main-story/10-outsiders/tidings-in-the-light.md)
Bravo|Human|Alive|[About](../heroes-of-rathe/bravo-about.md), [Origin Story](../main-story/01-welcome-to-rathe/a-rising-star.md)
Brevant|Human|Alive|[About](../heroes-of-rathe/brevant-about.md), [Brevant, Civic Protector](../short-stories/13-round-the-table/brevant-civic-protector.md)
Briar|Rosetta|Alive|[About](../heroes-of-rathe/briar-about.md), [Origin Story](../main-story/05-tales-of-aria/amongst-the-brambles.md), [A Grand Adventure](../main-story/06-everfest/a-grand-adventure.md)
Chane|Human|Alive|[About](../heroes-of-rathe/chane-about.md), [Origin Story](../main-story/04-monarch/emissary-of-the-void.md), [Levia's Origin Story](../main-story/04-monarch/destroy-and-consume.md)
Dash|Human|Alive|[About](../heroes-of-rathe/dash-about.md), [Full Steam Ahead](../main-story/02-arcane-rising/full-steam-ahead.md), [Needle in a Haystack](../main-story/02-arcane-rising/needle-in-a-haystack.md), [Stroke of Genius](../main-story/02-arcane-rising/stroke-of-genius.md), [Squeaker's Christmas](../main-story/10-outsiders/squeakers-christmas.md)
Data Doll MKII|Steam-Powered Automaton|Alive|[About](../heroes-of-rathe/data-doll-mkii-about.md)
Dorinthea|Human|Alive|[About](../heroes-of-rathe/dorinthea-about.md), [Origin Story](../main-story/01-welcome-to-rathe/pride-of-the-ironsongs.md), [No Smoke Without Fire](../main-story/03-crucible-of-war/no-smoke-without-fire.md), [Morlock Hill](../main-story/07-interlude/morlock-hill.md)
Dromai|Human|Alive|[About](../heroes-of-rathe/dromai-about.md), [Origin Story](../main-story/08-uprising/dragons-of-empire.md), [Fai's Origin Story](../main-story/08-uprising/fires-of-rebellion.md), [Ember in the Ash](../main-story/09-dynasty/ember-in-the-ash.md), [Tidings in the Light](../main-story/10-outsiders/tidings-in-the-light.md)
