# AUTO-GENERATED FILE — do not edit by hand. Regenerate with: Use the Database class in src/data/db/ (db.upsert_story).
CharacterId|Name|Species|Status|OtherCharactersStoryKey
LCdf6740910f|Achlys, hag of Mojire|Human|Unknown|
LC1e8f706fca|Aegis, the Shield of Light|Herald|Unknown|
LC54a776de1a|Aelius|Human|Dead|
LCc10baca506|Aesir of Flames|Aesir|Unknown|
LC391a4feeb5|Aios|Human|Alive|
LCa6985f5071|Akuo|Human|Unknown|
LC8c3fb8f946|Alif|Human|Alive|
LC35b82717e6|Alosyn|Human|Unknown|
LC1574ad62d4|Amir|Human|Unknown|
LCfae0e3bb79|Amira Surana|Unknown|Unknown|
LCd5f3905e87|Anarch Zeir|Human|Unknown|
LC0440d6a0af|Anhe, Kotori Wavebender|Human|Unknown|
LC8e2e606043|Apostate|Human|Unknown|
LC2670d21cfe|Astier|Human|Unknown|
LCd57e95e367|Astra Morena|Unknown|Unknown|
LCb63c49c98d|Ateia|Unknown|Unknown|
LC56f5b484c9|Aurea, Champion of the Dawn|Human|Unknown|
LC4e2330f32a|Aurelius|Horse|Unknown|
LC3185db92e6|Avalon, Messenger of the Dawn|Herald|Unknown|
LCb834866543|Bam Bam|Brute|Unknown|
LC0c3b896cc5|Baron the Butcher|Human|Dead|
LCc87c802d32|Bartrand the Bloody|Human|Unknown|
LC3cbe23777a|Barus Boldstride|Human|Unknown|
LC8ba0436436|Batbiter|Unknown|Unknown|
LCef9b462f01|Bazz|Human|Dead|
LC7c839ea6a4|Beezy the Brash|Human|Dead|
LC28de0aecb4|Bellona, the Wartune Herald|Herald|Unknown|
LC5eda4b69e2|Biski|Dog|Unknown|
LC07847c27b2|Blind Boggy|Unknown|Unknown|
LCfaba5ba58a|Bojani|Human|Dead|
LCbf9d6cfaac|Braumeister Balen|Human|Unknown|
LC2fc92f5f48|Brewmeister Marv|Human|Unknown|
LCcac9397d56|Brutus, Summa Rudis|Unknown|Unknown|
LCc97ec89048|Butcher Jek|Human|Unknown|
LC931eb6a232|Buttons|Human|Alive|
LC5514d76067|Captain Cooder of the Swiftwater / Warden Cooder|Human|Unknown|
LC072303ef3a|Captain Grit Jabir|Human|Unknown|
LCee2ff4f5e1|Captain Juka|Human|Unknown|
LC83faf4f515|Captain Klow|Human|Unknown|
LCa545cf1190|Captain Moody|Human|Dead|
LC19baf7a764|Captain Rue|Human|Unknown|
LC8a414834a0|Captain Vanegull|Human|Unknown|
LCc8939b7099|Caylin|Human|Dead|
LC9e53fe9cb1|Caylin's mother|Human|Dead|
LC4e6606fb43|Chancellor Helena Primavera|Human|Unknown|
LC65a559d397|Chancellor Hypatia|Human|Unknown|
LC4a2b5e1822|Charlotte|Dogg|Unknown|
LC1f0d5d73d0|Chiara Suncrest|Unknown|Unknown|
LCf19f1ec92f|Chum|Zombie|Dead|
LCfded586871|Cirrus|Human|Unknown|
LCbb2fc5d0dc|Countess Camilla|Unknown|Unknown|
LCf479f1823a|Cutty|Zombie|Dead|
LC1aa6cbc421|Dan Lu, Kotori Galewarden|Human|Unknown|
LC9739559960|Danu Ashenguard|Human|Unknown|
LC249c47aa90|Darian|Human|Dead|
LCdba8b18154|Davnir|Ancient of Earth and Lightning|Dead|
LC0a68d90ca3|Daxius|Human|Dead|
LCe7b99f643d|Demetrios|Brute|Dead|
LCf1bd74fe43|Dervin, Master of Beasts|Human|Unknown|
LC3e69de262d|Dheric|Human|Dead|
LC6d0dca761a|Dr. Krest Mortimer, 'The Fixer'|Human|Alive|other-characters/krest-mortimer.md
LCbe50c5ea7f|Dr. Wyverstone|Human|Unknown|
LCc3ac9661d5|Duke Drexen|Human|Unknown|
LC7f363e11d8|Dunric Vargas|Human|Unknown|
LC87b280ede4|Ebba|Human|Alive|
LCb95a224ce9|Efaris Brittlebone|Human|Unknown|
LCe837ee4005|Einar|Human|Unknown|
LCfd06f99a22|Eirina|Human Cleric|Dead|
LC339dd1bb6e|Eldon, Lost Knight|Human|Unknown|
LCb80f3e1e8c|Elias Edgecombe|Human|Unknown|
LC8f9c87c4b6|Emeviere|Unknown|Unknown|
LCc0d8c53cd3|Enforcer Eesha|Human|Unknown|
LC0a737d2abe|Ersebet|Unknown|Unknown|
LCd45c496548|Executive Smyte|Human|Unknown|
LC3ad7ebeb1b|Farin the Porter|Human|Unknown|
LCba94fcbd54|Fayyad|Human|Alive|
LCdb013e753c|Feral|Human|Unknown|
LC1454a20f37|Fightmaster Kox|Goblin|Unknown|
LC6acca24d74|Fightmaster Rusty|Dwarf|Unknown|
LCbea5830559|Flannigan|Human|Unknown|
LC7307fc2cbf|Fyanna Redmoor, Boltyn's cousin|Human|Unknown|
LC297e082f2b|Galaphor|Human|Dead|
LC2be5f35ac9|General Chul|Human|Unknown|
LCb63e06ebf2|General Ekoda|Human|Unknown|
LC99878cc3a3|General Nakami|Human|Unknown|
LCed66c0f929|General Riku|Human|Dead|
LCcb42576a44|General Yamatoka|Human|Alive|
LC1b2b049cb6|Giantslayer Crix|Human|Unknown|
LC3a3bf0afca|Governor Practiss|Human|Unknown|
LC24444467d6|Graham the Gallant|Human|Unknown|
LC2dff6260a6|Grand Magister, the Adamant|Human|Assumed Dead|
LC4726dd1d21|Grand Magister, the Beloved|Human|Assumed Dead|
LC91740cb310|Grand Magister, the Devout|Human|Assumed Dead|
LCb1c9d31e49|Grand Magister, the Radiant|Human|Assumed Dead|
