# AUTO-GENERATED FILE — do not edit by hand. Regenerate with: python3 src/data/create_equipment_csv.py
EquipmentGameId|SetId|CardId|Rarity|ImageURL
EGcd874ef944|1HP|1HP008|C|https://storage.googleapis.com/fabmaster/media/images/1HP008.width-450.png
EGcd874ef944|RNR|RNR005|C|https://storage.googleapis.com/fabmaster/media/images/RNR5.width-450.png
EGcd874ef944|WTR|WTR005|C|https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR005.png
EGcd874ef944|WTR|WTR005|C|https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR005.png
EG9c5e721a6f|1HP|1HP144|L|https://storage.googleapis.com/fabmaster/media/images/1HP144.width-450.png
EG9c5e721a6f|FAB|FAB006|P|https://storage.googleapis.com/fabmaster/cardfaces/promos/FAB006.png
EG9c5e721a6f|MPW|MPW011|L|https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPW011-RF.webp
EG9c5e721a6f|WTR|WTR116|L|https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR116.png
EG9c5e721a6f|WTR|WTR116|L|https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR116.png
EGd3307700ff|1HP|1HP096|C|https://storage.googleapis.com/fabmaster/media/images/1HP096.width-450.png
EGd3307700ff|FAB|FAB148|P|https://storage.googleapis.com/fabmaster/cardfaces/promos/FAB148.png
EGd3307700ff|KSU|KSU007|C|https://storage.googleapis.com/fabmaster/media/images/KSU7.width-450.png
EGd3307700ff|WTR|WTR080|C|https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR080.png
EGd3307700ff|WTR|WTR080|C|https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR080.png
EG4e21138e6f|1HP|1HP341|L|https://storage.googleapis.com/fabmaster/media/images/1HP341.width-450.png
EG4e21138e6f|ANQ|ANQ006|L|https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/ANQ006-RF.webp
EG4e21138e6f|CRU|CRU178|L|https://storage.googleapis.com/fabmaster/cardfaces/2020-CRU/CRU178.png
EG4e21138e6f|CRU|CRU178|L|https://storage.googleapis.com/fabmaster/cardfaces/2021-U-CRU/U-CRU178.png
EG4e21138e6f|EVO|EVO249|L|https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO249.png
EG4e21138e6f|FAB|FAB001|P|https://storage.googleapis.com/fabmaster/cardfaces/promos/FAB001.png
EG4e21138e6f|FAB|FAB002|P|https://storage.googleapis.com/fabmaster/cardfaces/promos/FAB002.png
EG4e21138e6f|LSS|LSS011|P|https://storage.googleapis.com/fabmaster/cardfaces/promos/LSS011_BACK.png
EG4e21138e6f|PEN|PEN311|L|https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/PEN311.webp
EG4e21138e6f|WTR|WTR150|L|https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR150.png
EG4e21138e6f|WTR|WTR150|L|https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR150.png
EG5880ee5895|1HP|1HP352|C|https://storage.googleapis.com/fabmaster/media/images/1HP352.width-450.png
EG5880ee5895|ARR|ARR005|R|https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/ARR005-RF.webp
EG5880ee5895|BVO|BVO006|C|https://storage.googleapis.com/fabmaster/media/images/BVO6.width-450.png
EG5880ee5895|FAB|FAB064|P|https://storage.googleapis.com/fabmaster/cardfaces/promos/FAB064.png
EG5880ee5895|LEV|LEV006|C|https://storage.googleapis.com/fabmaster/media/images/LEV006.width-450.png
EG5880ee5895|MPG|MPG120|C|https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/MPG120.webp
EG5880ee5895|OLD|OLD006|C|https://storage.googleapis.com/fabmaster/media/images/OLD006.width-450.png
EG5880ee5895|WTR|WTR153|C|https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR153.png
EG5880ee5895|WTR|WTR153|C|https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR153.png
EG94f13c4dfa|1HP|1HP351|C|https://storage.googleapis.com/fabmaster/media/images/1HP351.width-450.png
EG94f13c4dfa|APR|APR004|M|https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/APR004.webp
