# AUTO-GENERATED FILE — do not edit by hand. Regenerate with: Use the Database class in src/data/db/ (db.upsert_story).
RegionId|RegionName|WorldOfRatheStoryKey
RG48803cad0f|Aria|world-of-rathe/aria.md
RG8bc7b8bb1d|Demonastery|world-of-rathe/demonastery.md
RG05a2281d01|High Seas|world-of-rathe/high-seas.md
RG58cc047b16|Metrix|world-of-rathe/metrix.md
RGa08420d185|Mistera|
RG6cd31a74b6|Misteria|world-of-rathe/misteria.md
RG615666dae9|Solana|world-of-rathe/solana.md
RGb2d75101c8|The Pits|world-of-rathe/pits.md
RG8ee35f0ddd|The Savage Lands|world-of-rathe/savage-lands.md
RG8e23bdd8e8|Volcor|world-of-rathe/volcor.md
