# AUTO-GENERATED FILE — do not edit by hand. Regenerate with: python3 src/data/create_sets_csv.py
SetTypeId|SetType|SetTypeLayer
TYfcaaf6a22f|Armory Deck|Deck Releases
TY526cd03a42|Blitz Deck|Deck Releases
TY14e59cce5d|Box Set|Deck Releases
TY6f903c3145|Classic Battles Deck|Deck Releases
TY87478277a5|Core Booster Set|Booster Releases
TY4dde9990af|Demo Deck|Deck Releases
TY858a95be59|Expansion Booster Set|Other
TY7fc7966b3b|First Strike Deck|Deck Releases
TY3634cb99aa|Hero Deck|Deck Releases
TYd8e2e91515|History Pack|Booster Releases
TY0143717ab6|History Pack Blitz Deck|Deck Releases
TYae8fdcc03a|Mastery Pack|Booster Releases
TY92969bb9ea|Prize|Other
TY1ac8c9771b|Promo|Other
TY48cd9f30bc|Supplementary Booster Set|Booster Releases
TY218948d76b|Token Set|Other
TY00678b0ea7|Welcome Deck|Deck Releases
