# AUTO-GENERATED FILE — do not edit by hand. Regenerate with: python3 src/data/create_sets_csv.py
SetId|SetTypeId|SetName|InitialReleaseDate
1HB|TY0143717ab6|History Pack 1 - Bravo Blitz Deck|2023-02-24T00:00:00.000Z
1HD|TY0143717ab6|History Pack 1 - Dash Blitz Deck|2023-02-24T00:00:00.000Z
1HK|TY0143717ab6|History Pack 1 - Kano Blitz Deck|2023-02-24T00:00:00.000Z
1HP|TYd8e2e91515|History Pack 1|2022-05-06T00:00:00.000Z
1HR|TY0143717ab6|History Pack 1 - Rhinar Blitz Deck|2023-02-24T00:00:00.000Z
1HT|TY0143717ab6|History Pack 1 - Dorinthea Blitz Deck|2023-02-24T00:00:00.000Z
1HV|TY0143717ab6|History Pack 1 - Viserai Blitz Deck|2023-02-24T00:00:00.000Z
2HP|TYd8e2e91515|History Pack 2 – Black Label|
AAC|TYfcaaf6a22f|Armory Deck - Arakni|2025-12-12T00:00:00.000Z
AAZ|TYfcaaf6a22f|Armory Deck - Azalea|2024-08-02T00:00:00.000Z
AGB|TYfcaaf6a22f|Armory Deck - Gravy Bones|2025-05-30T00:00:00.000Z
AHA|TYfcaaf6a22f|Armory Deck Origins - Hala|2026-04-17T00:00:00.000Z
AIO|TYfcaaf6a22f|Armory Deck - Dash I/O|2024-10-18T00:00:00.000Z
AJV|TYfcaaf6a22f|Armory Deck Origins - Jarl Vetreiði|2024-11-29T00:00:00.000Z
AKO|TYfcaaf6a22f|Armory Deck - Kayo|2024-05-03T00:00:00.000Z
AMX|TYfcaaf6a22f|Amory Deck - Maxx|2025-04-17T00:00:00.000Z
AOL|TYfcaaf6a22f|Armory Deck - Olympia|2026-08-07T00:00:00.000Z
APR|TYfcaaf6a22f|Armory Deck Legends - Prism|2025-07-24T00:00:00.000Z
APS|TYfcaaf6a22f|Armory Deck - Pleiades|2025-09-19T00:00:00.000Z
ARA|TY526cd03a42|Arakni Blitz Deck|2023-03-24T00:00:00.000Z
ARC|TY87478277a5|Arcane Rising|2020-03-27T00:00:00.000Z
ARK|TY526cd03a42|Arakni Blitz Deck|2025-01-31T00:00:00.000Z
ARR|TYfcaaf6a22f|Armory Deck - Rhinar|2025-11-14T00:00:00.000Z
ASB|TYfcaaf6a22f|Armory Deck - Boltyn|2024-07-12T00:00:00.000Z
ASR|TYfcaaf6a22f|Armory Deck - Ira|2025-07-11T00:00:00.000Z
AST|TYfcaaf6a22f|Armory Deck - Aurora|2025-03-14T00:00:00.000Z
AUA|TY526cd03a42|Aurora Blitz Deck|2024-09-20T00:00:00.000Z
AUR|TY7fc7966b3b|First Strike - Aurora|2024-08-23T00:00:00.000Z
AVS|TYfcaaf6a22f|Armory Deck Legends - Viserai|2025-07-24T00:00:00.000Z
AZL|TY526cd03a42|Azalea Blitz Deck|2023-03-24T00:00:00.000Z
AZS|TYfcaaf6a22f|Armory Deck - Zyggy|2026-05-29T00:00:00.000Z
BDD|TY4dde9990af|Bravo Demo Deck|2025-08-08T00:00:00.000Z
BEN|TY526cd03a42|Benji Blitz Deck|2023-03-24T00:00:00.000Z
BET|TY526cd03a42|Betsy Blitz Deck|2024-02-02T00:00:00.000Z
BOL|TY526cd03a42|Boltyn Blitz Deck|2021-05-07T00:00:00.000Z
BRI|TY526cd03a42|Briar Blitz Deck|2021-11-24T00:00:00.000Z
BVO|TY3634cb99aa|Bravo Hero Deck|2019-10-11T00:00:00.000Z
CHN|TY526cd03a42|Chane Blitz Deck|2021-05-07T00:00:00.000Z
CIN|TY526cd03a42|Cindra Blitz Deck|2025-01-31T00:00:00.000Z
CRU|TY48cd9f30bc|Crucible of War|2020-08-28T00:00:00.000Z
DDD|TY4dde9990af|Dorinthea Demo Deck|2026-08-07T00:00:00.000Z
DRO|TY526cd03a42|Dromai Blitz Deck|2022-06-24T00:00:00.000Z
DTD|TY48cd9f30bc|Dusk till Dawn|2023-07-23T00:00:00.000Z
DVR|TY6f903c3145|Classic Battles: Rhinar vs Dorinthea – Dorinthea|2022-05-27T00:00:00.000Z
DYN|TY858a95be59|Dynasty|2022-11-11T00:00:00.000Z
ELE|TY87478277a5|Tales of Aria|2021-09-24T00:00:00.000Z
ENG|TY526cd03a42|Enigma Blitz Deck|2024-05-31T00:00:00.000Z
EVO|TY858a95be59|Bright Lights|2023-10-06T00:00:00.000Z
EVR|TY48cd9f30bc|Everfest|2022-02-04T00:00:00.000Z
FAB|TY1ac8c9771b|Promos|
FAI|TY526cd03a42|Fai Blitz Deck|2022-06-24T00:00:00.000Z
FLR|TY526cd03a42|Florian Blitz Deck|2024-09-20T00:00:00.000Z
FNG|TY526cd03a42|Fang Blitz Deck|2025-01-31T00:00:00.000Z
GEM|TY1ac8c9771b|GEM Pack Promos|
HER|TY1ac8c9771b|Hero Card Promos|
HNT|TY87478277a5|The Hunted|2025-01-31T00:00:00.000Z
HVY|TY87478277a5|Heavy Hitters|2024-02-02T00:00:00.000Z
IRA|TY00678b0ea7|Ira Welcome Deck|2019-08-31T00:00:00.000Z
JDG|TY1ac8c9771b|Judge Unique Promos|
KAT|TY526cd03a42|Katsu Blitz Deck|2023-03-24T00:00:00.000Z
KSI|TY526cd03a42|Kassai Blitz Deck|2024-02-02T00:00:00.000Z
KSU|TY3634cb99aa|Katsu Hero Deck|2019-10-11T00:00:00.000Z
KYO|TY526cd03a42|Kayo Blitz Deck|2024-02-02T00:00:00.000Z
LEV|TY526cd03a42|Levia Blitz Deck|2021-05-07T00:00:00.000Z
LGS|TY1ac8c9771b|Local Game Store Promos|
LSS|TY1ac8c9771b|LSS Promos|
LXI|TY526cd03a42|Lexi Blitz Deck|2021-11-24T00:00:00.000Z
MON|TY87478277a5|Monarch|2021-05-07T00:00:00.000Z
MPG|TYae8fdcc03a|Mastery Pack Guardian|2025-08-08T00:00:00.000Z
MPW|TYae8fdcc03a|Mastery Pack Warrior|2026-07-08T00:00:00.000Z
MST|TY87478277a5|Part the Mistveil|2024-05-31T00:00:00.000Z
NUU|TY526cd03a42|Nuu Blitz Deck|2024-05-31T00:00:00.000Z
OLA|TY526cd03a42|Olympia Blitz Deck|2024-02-02T00:00:00.000Z
OLD|TY526cd03a42|Oldhim Blitz Deck|2021-11-24T00:00:00.000Z
OMN|TY87478277a5|Omens of the Third Age|2026-06-05T00:00:00.000Z
OSC|TY526cd03a42|Oscilio Blitz Deck|2024-09-20T00:00:00.000Z
OUT|TY87478277a5|Outsiders|2023-03-24T00:00:00.000Z
OXO|TY1ac8c9771b|Slingshot Underground Promos|
PEN|TY87478277a5|Compendium of Rathe|2026-02-13T00:00:00.000Z
PSM|TY526cd03a42|Prism Blitz Deck|2021-05-07T00:00:00.000Z
RHI|TY526cd03a42|Rhinar Blitz Deck|2024-02-02T00:00:00.000Z
RIP|TY526cd03a42|Riptide Blitz Deck|2023-03-24T00:00:00.000Z
RNR|TY3634cb99aa|Rhinar Hero Deck|2019-10-11T00:00:00.000Z
ROS|TY87478277a5|Rosetta|2024-09-20T00:00:00.000Z
RVD|TY6f903c3145|Classic Battles: Rhinar vs Dorinthea – Rhinar|2022-05-27T00:00:00.000Z
SAR|TY87478277a5|Silver Age Chapter 2 - Arakni, Web of Deceit|2026-02-13T00:00:00.000Z
SAZ|TY87478277a5|Silver Age Chapter 2 - Azalea|2026-02-13T00:00:00.000Z
SBR|TY87478277a5|Silver Age Chapter 1 - Bravo, Flattering Showman|2026-02-13T00:00:00.000Z
SDA|TY87478277a5|Silver Age Chapter 1 - Dash|2026-02-13T00:00:00.000Z
SDO|TY87478277a5|Silver Age Chapter 2 - Dorinthea|2026-02-13T00:00:00.000Z
SEA|TY87478277a5|High Seas|2025-06-06T00:00:00.000Z
SEN|TY87478277a5|Silver Age Chapter 2 - Enigma|2026-02-13T00:00:00.000Z
SFA|TY87478277a5|Silver Age Chapter 2 - Fai|2026-02-13T00:00:00.000Z
SIY|TY87478277a5|Silver Age Chapter 1 - Iyslander|2026-02-13T00:00:00.000Z
SKA|TY87478277a5|Silver Age Chapter 1 - Kayo|2026-02-13T00:00:00.000Z
SMP|TY48cd9f30bc|Smash Palace|2025-08-29T00:00:00.000Z
SUP|TY48cd9f30bc|Super Slam|2025-09-26T00:00:00.000Z
SVI|TY87478277a5|Silver Age Chapter 1 - Viserai|2026-02-13T00:00:00.000Z
TCC|TY14e59cce5d|Round the Table: TCC X LSS|2023-09-29T00:00:00.000Z
TEA|TY3634cb99aa|Dorinthea Hero Deck|2019-10-11T00:00:00.000Z
TER|TY7fc7966b3b|First Strike - Terra|2024-08-23T00:00:00.000Z
TNP|TY87478277a5|Tournament Pack|
UPR|TY87478277a5|Uprising|2022-06-24T00:00:00.000Z
UZU|TY526cd03a42|Uzuri Blitz Deck|2023-03-24T00:00:00.000Z
VER|TY526cd03a42|Verdance Blitz Deck|2024-09-20T00:00:00.000Z
VIC|TY526cd03a42|Victor Goldmane Blitz Deck|2024-02-02T00:00:00.000Z
WIN|TY92969bb9ea|Worlds / Pro Tour Prize Cards|
WOD|TY526cd03a42|Arakni, Web of Deceit Blitz Deck|2025-01-31T00:00:00.000Z
WTR|TY87478277a5|Welcome to Rathe|2019-10-11T00:00:00.000Z
XXX|TY218948d76b|OP Event Tokens|
ZEN|TY526cd03a42|Zen Blitz Deck|2024-05-31T00:00:00.000Z
