# AUTO-GENERATED FILE — do not edit by hand. Regenerate with: Use the Database class in src/data/db/ (db.upsert_story / db.remove_story).
StoryId|CanonicalWeaponId
ST03e7564723|CW0893bf0a58
ST03e7564723|CW7c7fa6a5b3
ST12965e28e6|CW7c97fe936b
ST1dbb835f9c|CW45d53ab7ae
ST1ef49cbaab|CW0bed03c9d2
ST1ef49cbaab|CWe3eb220aa4
ST505bb98430|CW2d61057b1e
ST505bb98430|CW677fa360bb
ST505bb98430|CWa111b79780
ST505bb98430|CWab5fe23891
ST505bb98430|CWbf541f688b
ST505bb98430|CWcae6467a84
ST505bb98430|CWe424b0455e
ST5345dee53e|CWa96f0c6813
ST54f892b1d7|CW448e5ff20d
ST54f892b1d7|CW9bc7b60e16
ST54f892b1d7|CWbc5296016b
ST54f892b1d7|CWd56fff7138
ST6b95eb052b|CWbf541f688b
ST753c993ac6|CWc963ed33e0
ST753c993ac6|CWd56fff7138
ST86dfdb07be|CW05b351aa9b
ST86dfdb07be|CW3f7fbd3e19
ST91aa0c2b46|CW148b2c606f
ST9e98b2b0c6|CW875cfefc18
STae2ed0a1b2|CW448e5ff20d
STb70436e171|CWae5f9e6bb1
STbca78faf59|CWc963ed33e0
STbca78faf59|CWd56fff7138
STbd94abe6ef|CW875cfefc18
STc4978ed0c7|CW0061f0373d
STc4978ed0c7|CW45d53ab7ae
STcf218fa9f5|CW5cfe3e71c5
STd23d8d544b|CW45d53ab7ae
STdb0b746fe8|CW7c97fe936b
