# AUTO-GENERATED FILE — do not edit by hand. Regenerate with: python3 src/data/create_weapons_csv.py
WeaponGameId|CardName|CanonicalWeaponId|ClassIds|TalentIds|Cost|Power|AbilityText|Types
WG77cb6a6a3d|Edge of Autumn|CW5cfe3e71c5|CL04a4fce796|||1|**Once per Turn Action** - {r}: **Attack**. **Go again**|Ninja, Weapon, Sword, 2H
WG3b33abdccf|Anothos|CWa96f0c6813|CL8060afda51|||4|**Once per turn Action** - {r}{r}{r}: **Attack**  While there are 2 or more cards with cost 3 or greater in your pitch zone, Anothos has +2{p}.|Guardian, Weapon, Hammer, 2H
WGd2775947f7|Dawnblade|CW45d53ab7ae|CLf4c16fcffe|||3|**Once per Turn Action** - {r}: **Attack**  The second time this hits each turn, put a +1{p} counter on it.  At the beginning of your end phase, if this hasn't hit this turn, remove all +1{p} counters from it.|Warrior, Weapon, Sword, 2H
WG12cb57428e|Harmonized Kodachi|CW148b2c606f|CL04a4fce796|||1|**Once per Turn Action** - {r}: **Attack**  If you have a card in your pitch zone with cost 0, this card's attacks get **go again**.|Ninja, Weapon, Dagger, 1H
WG7b4332bcf9|Romping Club|CW1a803c89e7|CL48a111b581|||4|**Once per Turn Action** - {r}{r}: **Attack**  **Once per Turn Effect** - When you discard a card with 6 or more {p}, Romping Club gains +1{p} until end of turn.|Brute, Weapon, Club, 2H
WG6f0deb5e42|Crucible of Aetherweave|CW9952bce67e|CLaf2c41eb4e||||**Once per Turn Instant** - {r}: The next card you play this turn with an effect that deals arcane damage, instead deals that much arcane damage plus 1.|Wizard, Weapon, Staff, 2H
WG37501e6dd2|Death Dealer|CW35b744cc6c|CLe8126c64c3||||**Once per Turn Action** - {r}: If you have no cards in your arsenal, you may put an arrow card from your hand face up into your arsenal. If you do, draw a card. **Go again**|Ranger, Weapon, Bow, 2H
WG35da85d22b|Nebula Blade|CW693db0e870|CL7ddbb0abd6|||1|Once per Turn Action - {r}{r}: **Attack**  If Nebula Blade hits, create a Runechant token.  If you have played a 'non-attack' action card this turn, Nebula Blade gains +3{p} until end of turn.|Runeblade, Weapon, Sword, 2H
WG91867884d8|Teklo Plasma Pistol|CWfc9225abd7|CLc2defff067|||2|**Action** - Remove a steam counter from Teklo Plasma Pistol: **Attack**  **Action** - {r}: If there are no steam counters on Teklo Plasma Pistol, put a steam counter on it. **Go again**|Mechanologist, Weapon, Pistol, 2H
WGaddc87a82c|Aether Conduit|CW11ec841dc9|CLaf2c41eb4e||||**Once per Turn Action** - {r}{r}: Deal 2 arcane damage to target hero.|Wizard, Weapon, Staff, 2H
WG086719035e|Cintari Saber|CWbf541f688b|CLf4c16fcffe|||2|**Once per Turn Action** - {r}: **Attack**  Whenever Cintari Saber is defended by 1 or more attack action cards, it gains +1{p} until end of turn.|Warrior, Weapon, Sword, 1H
