# AUTO-GENERATED FILE — do not edit by hand. Regenerate with: python3 src/data/create_equipment_csv.py
CanonicalEquipmentId|CanonicalSlug|CanonicalEquipment
CE7230f69776|achilles-accelerator|Achilles Accelerator
CEd007dd8503|adaptive-alpha-mold|Adaptive Alpha Mold
CEc7e119c663|adaptive-dissolver|Adaptive Dissolver
CEaf5fd8c536|adaptive-plating|Adaptive Plating
CEf419f10d3d|aether-bindings-of-the-third-age|Aether Bindings of the Third Age
CEc1fddc850e|aether-crackers|Aether Crackers
CEc78cb4a3de|aether-ironweave|Aether Ironweave
CEd8105d41ba|alluvion-constellas|Alluvion Constellas
CEb6a1491ed5|amethyst-tiara|Amethyst Tiara
CE70b04bd474|apex-bonebreaker|Apex Bonebreaker
CE3b40613a8b|aqua-laps|Aqua Laps
CE3d004c9709|aqua-seeing-shell|Aqua Seeing Shell
CE870150b51e|arcane-lantern|Arcane Lantern
CEaf0b408f77|arcanite-fortress|Arcanite Fortress
CE0b3441fdd4|arcanite-skullcap|Arcanite Skullcap
CEb6c39ca7e1|arousing-wave|Arousing Wave
CE0ffa9da79f|attention-grabbers|Attention Grabbers
CE9ffe2dd666|aurum-aegis|Aurum Aegis
CE63d5d8b955|balance-of-justice|Balance of Justice
CEbcab50d9a3|bandana-of-the-blue-beyond|Bandana of the Blue Beyond
CE2c089f6298|barkbone-strapping|Barkbone Strapping
CEb98ce9231c|barkskin-of-the-millennium-tree|Barkskin of the Millennium Tree
CE6b494641b2|base-of-the-mountain|Base of the Mountain
CE918f38ddc8|bastion-of-duty|Bastion of Duty
CEc57a868441|bastion-of-unity|Bastion of Unity
CEe3d76a005b|beaten-trackers|Beaten Trackers
CE04790a7f1a|beckon-applause|Beckon Applause
CEddd3ac275b|blacktek-whisperers|Blacktek Whisperers
CE5ee71da445|blade-beckoner-boots|Blade Beckoner Boots
CEd1294e9afe|blade-beckoner-gauntlets|Blade Beckoner Gauntlets
CEb1990f1d7c|blade-beckoner-helm|Blade Beckoner Helm
CEf0d816b314|blade-beckoner-plating|Blade Beckoner Plating
CE326aa2928c|blade-cuff|Blade Cuff
CE979f628bbd|blazen-yoroi|Blazen Yoroi
CE417432fd4e|blood-drop-brocade|Blood Drop Brocade
CE7c1548f441|blood-scent|Blood Scent
CEc66ee04e9c|blood-splattered-vest|Blood Splattered Vest
CE0d45819ee5|bloodied-boots|Bloodied Boots
CEfa811e6991|bloodied-gauntlet|Bloodied Gauntlet
CE3bd4ae0436|bloodied-helm|Bloodied Helm
CE9aad147b95|bloodied-oval|Bloodied Oval
CEe84207d71b|bloodied-shield|Bloodied Shield
CEd2e2dc919e|bloodied-strapping|Bloodied Strapping
CEd68bea3760|bloodsheath-skeleta|Bloodsheath Skeleta
CEef91660b46|bloodtorn-bodice|Bloodtorn Bodice
CEc8128f7712|blossom-of-spring|Blossom of Spring
CEdeba585a0b|blue-sea-tricorn|Blue Sea Tricorn
CE81cb3c5b46|bone-vizier|Bone Vizier
CE8ad27e8bcf|boots-to-the-boards|Boots to the Boards
CE9294e839b3|bracers-of-belief|Bracers of Belief
CEf1d67fd2e5|bracers-of-bellonas-grace|Bracers of Bellona's Grace
CEf21a190b70|braveforge-bracers|Braveforge Bracers
CEc384472aaa|breaker-helm-protos|Breaker Helm Protos
CE709a68a003|breaking-scales|Breaking Scales
CEa75f259d6f|breakwater-undertow|Breakwater Undertow
CE9a9727427a|breeze-rider-boots|Breeze Rider Boots
CEac2d144328|bruised-leather|Bruised Leather
CEf3093df42d|buccaneers-bounty|Buccaneer's Bounty
CE43eac6a30f|bulls-eye-bracers|Bull's Eye Bracers
CEf93572bcfc|bunker-beard|Bunker Beard
CE7d5661b6a5|calming-cloak|Calming Cloak
CE5e9ccd6fcc|calming-gesture|Calming Gesture
CE18b2af124e|cap-of-quick-thinking|Cap of Quick Thinking
CEfa2de8617b|captains-coat|Captain's Coat
CE5c95ec7fe9|carrion-husk|Carrion Husk
CE0384e64f52|celestial-kimono|Celestial Kimono
CEc027811bf0|civic-duty|Civic Duty
CE41dbd2a9ec|civic-guide|Civic Guide
CE026166089c|civic-peak|Civic Peak
CEc5cd290528|civic-steps|Civic Steps
CE65aab7113f|cloak-of-darkness|Cloak of Darkness
CE66c942d23b|coat-of-allegiance|Coat of Allegiance
CEbd902854f5|coat-of-frost|Coat of Frost
CEf3d60d9cfa|cogwerx-base-arms|Cogwerx Base Arms
CEa1826b0046|cogwerx-base-chest|Cogwerx Base Chest
CEc2c766e85e|cogwerx-base-head|Cogwerx Base Head
CE9583548f47|cogwerx-base-legs|Cogwerx Base Legs
CE65e06f23be|cogwerx-tinker-rings|Cogwerx Tinker Rings
CEacfa863c49|compass-of-sunken-depths|Compass of Sunken Depths
CE4ea25c3643|conduit-of-frostburn|Conduit of Frostburn
CE33da5ae9ab|confront-adversity|Confront Adversity
CE860b8da5ff|coronet-peak|Coronet Peak
CE53348f47ba|courage-of-bladehold|Courage of Bladehold
CEa0fe606107|cracker-jax|Cracker Jax
CE33c1c32d50|crater-fist|Crater Fist
CE8b2ebc9271|craterhoof|Craterhoof
CE74ee08717d|crown-of-dichotomy|Crown of Dichotomy
CEfc03ba0816|crown-of-dominion|Crown of Dominion
CE65dc2318b6|crown-of-providence|Crown of Providence
CE28b8f1e331|crown-of-reflection|Crown of Reflection
CEaccb4821b9|crown-of-seeds|Crown of Seeds
