# AUTO-GENERATED FILE — do not edit by hand. Regenerate with: python3 src/data/create_equipment_csv.py
EquipmentGameId|SetId|CardId|Rarity
EGcd874ef944|1HP|1HP008|C
EGcd874ef944|RNR|RNR005|C
EGcd874ef944|WTR|WTR005|C
EG9c5e721a6f|1HP|1HP144|L
EG9c5e721a6f|FAB|FAB006|P
EG9c5e721a6f|WTR|WTR116|L
EGd3307700ff|1HP|1HP096|C
EGd3307700ff|FAB|FAB148|P
EGd3307700ff|KSU|KSU007|C
EGd3307700ff|WTR|WTR080|C
EG4e21138e6f|1HP|1HP341|L
EG4e21138e6f|CRU|CRU178|L
EG4e21138e6f|EVO|EVO249|L
EG4e21138e6f|FAB|FAB001|P
EG4e21138e6f|FAB|FAB002|P
EG4e21138e6f|LSS|LSS011|P
EG4e21138e6f|WTR|WTR150|L
EG5880ee5895|1HP|1HP352|C
EG5880ee5895|BVO|BVO006|C
EG5880ee5895|FAB|FAB064|P
EG5880ee5895|LEV|LEV006|C
EG5880ee5895|MPG|MPG120|C
EG5880ee5895|OLD|OLD006|C
EG5880ee5895|WTR|WTR153|C
EG94f13c4dfa|1HP|1HP351|C
EG94f13c4dfa|BRI|BRI006|C
EG94f13c4dfa|FAB|FAB063|P
EG94f13c4dfa|KSU|KSU006|C
EG94f13c4dfa|MPG|MPG119|C
EG94f13c4dfa|PSM|PSM005|C
EG94f13c4dfa|WTR|WTR152|C
EGe4fa56ba31|1HP|1HP048|C
EGe4fa56ba31|BVO|BVO004|C
EGe4fa56ba31|MPG|MPG005|C
EGe4fa56ba31|OLD|OLD004|C
EGe4fa56ba31|WTR|WTR042|C
EG6ef5c3787c|1HP|1HP350|C
EG6ef5c3787c|FAI|FAI003|C
EG6ef5c3787c|LSS|LSS012|P
EG6ef5c3787c|MPG|MPG118|C
EG6ef5c3787c|TEA|TEA004|C
EG6ef5c3787c|WTR|WTR151|C
EGc6b1c07251|1HP|1HP344|C
EGc6b1c07251|BRI|BRI007|C
EGc6b1c07251|MPG|MPG124|C
EGc6b1c07251|OXO|OXO003|P
EGc6b1c07251|RNR|RNR006|C
EGc6b1c07251|TEA|TEA006|C
EGc6b1c07251|WTR|WTR157|C
EGfdb4702a7c|1HP|1HP342|C
EGfdb4702a7c|AUR|AUR003|C
EGfdb4702a7c|DVR|DVR003|C
EGfdb4702a7c|KSU|KSU005|C
EGfdb4702a7c|MPG|MPG122|C
EGfdb4702a7c|OXO|OXO001|P
EGfdb4702a7c|RNR|RNR004|C
EGfdb4702a7c|TER|TER004|C
EGfdb4702a7c|WTR|WTR155|C
EG1edd5f8a16|1HP|1HP345|C
EG1edd5f8a16|AUR|AUR006|C
EG1edd5f8a16|AZL|AZL007|C
EG1edd5f8a16|BVO|BVO007|C
EG1edd5f8a16|DVR|DVR006|C
EG1edd5f8a16|KSU|KSU008|C
EG1edd5f8a16|LXI|LXI006|C
EG1edd5f8a16|MPG|MPG125|C
EG1edd5f8a16|OXO|OXO004|P
EG1edd5f8a16|RIP|RIP007|C
EG1edd5f8a16|TER|TER007|C
EG1edd5f8a16|WTR|WTR158|C
EG52272957e3|1HP|1HP343|C
EG52272957e3|BVO|BVO005|C
EG52272957e3|MPG|MPG123|C
EG52272957e3|OXO|OXO002|P
EG52272957e3|TEA|TEA005|C
EG52272957e3|WTR|WTR156|C
EG6d7644984b|1HP|1HP095|L
EG6d7644984b|FAB|FAB005|P
EG6d7644984b|WTR|WTR079|L
EG45126a294a|1HP|1HP145|C
EG45126a294a|TEA|TEA007|C
EG45126a294a|WTR|WTR117|C
EG5cf11831b3|1HP|1HP007|L
EG5cf11831b3|FAB|FAB003|P
EG5cf11831b3|LSS|LSS018|P
EG5cf11831b3|WTR|WTR004|L
EG544ea2f908|1HP|1HP353|C
EG544ea2f908|ARA|ARA006|C
EG544ea2f908|ASR|ASR006|C
EG544ea2f908|BOL|BOL008|C
EG544ea2f908|CHN|CHN007|C
EG544ea2f908|FAB|FAB065|P
EG544ea2f908|LSS|LSS017|P
EG544ea2f908|RNR|RNR007|C
EG544ea2f908|WTR|WTR154|C
EG31c63533e3|1HP|1HP047|L
EG31c63533e3|FAB|FAB004|P
EG31c63533e3|WTR|WTR041|L
EG8ea7344f31|1HP|1HP186|C
EG8ea7344f31|ARC|ARC005|C
EG8ea7344f31|FAB|FAB101|P
EG07e4fcd94f|ARC|ARC150|L
EG07e4fcd94f|EVR|EVR154|L
EG07e4fcd94f|FAB|FAB007|P
EG2ef043e117|1HP|1HP355|C
EG2ef043e117|ARC|ARC153|C
EG2ef043e117|AZL|AZL006|C
EGecc6e6d1c9|1HP|1HP226|C
EGecc6e6d1c9|ARC|ARC042|C
EGecc6e6d1c9|FAB|FAB102|P
EG4178f6aff0|1HP|1HP263|C
EG4178f6aff0|ARC|ARC079|C
EGf576bf2a0f|1HP|1HP262|L
EGf576bf2a0f|ARC|ARC078|L
EGf576bf2a0f|FAB|FAB010|P
EG6e53bd5ba2|1HP|1HP357|C
EG6e53bd5ba2|ARC|ARC154|C
EG6e53bd5ba2|FAB|FAB067|P
EG9b0eb1b126|1HP|1HP349|C
EG9b0eb1b126|ARC|ARC158|C
EG9b0eb1b126|FAB|FAB071|P
EG9b0eb1b126|FAB|FAB248|P
EG9b0eb1b126|LGS|LGS372|P
EGf1ff569bdd|1HP|1HP348|C
EGf1ff569bdd|ARC|ARC157|C
EGf1ff569bdd|FAB|FAB070|P
EGf1ff569bdd|FAB|FAB247|P
EGf1ff569bdd|LGS|LGS371|P
EG0d002390b2|1HP|1HP346|C
EG0d002390b2|ARC|ARC155|C
EG0d002390b2|FAB|FAB068|P
EG0d002390b2|FAB|FAB245|P
EG0d002390b2|LGS|LGS369|P
EGc2a428ceaa|1HP|1HP347|C
EGc2a428ceaa|ARC|ARC156|C
EGc2a428ceaa|FAB|FAB069|P
EGc2a428ceaa|FAB|FAB246|P
EGc2a428ceaa|LGS|LGS370|P
EG162be3e89a|1HP|1HP306|C
EG162be3e89a|ARC|ARC117|C
EGf0456ce025|1HP|1HP225|L
EGf0456ce025|ARC|ARC041|L
EGf0456ce025|FAB|FAB009|P
EGaee91a5166|1HP|1HP305|L
EGaee91a5166|ARC|ARC116|L
EGaee91a5166|FAB|FAB011|P
EGdf8fe7b5f5|1HP|1HP354|C
EGdf8fe7b5f5|ARC|ARC151|C
EGdf8fe7b5f5|FAB|FAB066|P
EGbd4ae138c7|1HP|1HP185|L
EGbd4ae138c7|ARC|ARC004|L
EGbd4ae138c7|EVO|EVO012|L
EGbd4ae138c7|FAB|FAB008|P
EG730affff06|1HP|1HP356|C
EG730affff06|ARC|ARC152|C
EG730affff06|FAB|FAB100|P
EG26627ecee1|1HP|1HP264|M
EG26627ecee1|CRU|CRU141|M
EG58547247b3|1HP|1HP097|M
EG58547247b3|CRU|CRU053|M
EG25de590814|1HP|1HP146|M
EG25de590814|CRU|CRU081|M
EG25de590814|FAB|FAB073|P
EGf01b49b04f|1HP|1HP049|M
EGf01b49b04f|CRU|CRU025|M
EGf01b49b04f|FAB|FAB107|P
EGe46d28cc9f|1HP|1HP358|M
EGe46d28cc9f|CRU|CRU179|M
EGe46d28cc9f|FAB|FAB074|P
EGc365350410|1HP|1HP307|M
EGc365350410|CRU|CRU161|M
EGc365350410|FAB|FAB108|P
EG7a9b69c302|1HP|1HP227|M
EG7a9b69c302|CRU|CRU122|M
EG02d87961af|1HP|1HP009|M
EG02d87961af|CRU|CRU006|M
EG3d09dc9d76|1HP|1HP187|M
EG3d09dc9d76|CRU|CRU102|M
EG77bf480cce|CHN|CHN005|C
EG77bf480cce|FAB|FAB149|P
EG77bf480cce|MON|MON230|C
EG162bc9056b|MON|MON238|C
EG5f4b6e12a5|FAB|FAB018|P
EG5f4b6e12a5|MON|MON187|L
EGe0a905df66|MON|MON090|C
EGe0a905df66|PSM|PSM006|C
EGc26db91073|CHN|CHN004|C
EGc26db91073|FAB|FAB072|P
EGc26db91073|LEV|LEV004|C
EGc26db91073|MON|MON188|C
EG6718849c36|BOL|BOL007|C
EG6718849c36|DVR|DVR005|C
EG6718849c36|MON|MON108|C
EGaf2f7291cd|BOL|BOL005|C
EGaf2f7291cd|FAB|FAB103|P
EGaf2f7291cd|MON|MON061|C
EGaf2f7291cd|PSM|PSM004|C
EG51d0c2ae18|LEV|LEV007|C
EG51d0c2ae18|MON|MON122|C
EG621e593219|FAB|FAB150|P
EG621e593219|MON|MON243|C
EG621e593219|RVD|RVD005|C
EG1033d2f380|DRO|DRO005|C
EG1033d2f380|MON|MON241|C
EG44a3b7d749|DRO|DRO008|C
EG44a3b7d749|MON|MON244|C
EG44a3b7d749|OLD|OLD007|C
EG44a3b7d749|RVD|RVD006|C
EG44a3b7d749|UZU|UZU006|C
EGc6202fa903|MON|MON242|C
EGe9078a7747|FAB|FAB019|P
EGe9078a7747|MON|MON089|L
EG1db79463b9|BOL|BOL006|R
EG1db79463b9|DYN|DYN237|R
EG1db79463b9|LEV|LEV005|R
EG9aabd9a6e0|CHN|CHN006|R
EG9aabd9a6e0|DYN|DYN238|R
EGad19e32dcb|AUR|AUR029|R
EGad19e32dcb|DYN|DYN239|R
EGad19e32dcb|PSM|PSM007|R
EGad19e32dcb|TER|TER030|R
EGb08897b1ef|MON|MON239|C
EGbdea9257d5|FAB|FAB256|P
EGbdea9257d5|MON|MON240|C
EGbdea9257d5|MPG|MPG121|C
EG83a93be7db|FAB|FAB020|P
EG83a93be7db|MON|MON107|L
EGacca40e1e5|FAB|FAB017|P
EGacca40e1e5|MON|MON060|L
EG5b938a380e|ELE|ELE145|C
EG5b938a380e|FAB|FAB105|P
EG5b938a380e|OLD|OLD005|C
EGdf223c5c90|ELE|ELE235|C
EGb7ed0c2cda|ELE|ELE115|L
EGb7ed0c2cda|FAB|FAB052|P
EG78d42033d2|DRO|DRO006|C
EG78d42033d2|ELE|ELE234|C
EG78d42033d2|LXI|LXI004|C
EGa863c6fff1|ELE|ELE144|L
EGa863c6fff1|FAB|FAB053|P
EG246551be01|ELE|ELE214|C
EG246551be01|LXI|LXI003|C
EGf4c8e1d0a4|ELE|ELE174|C
EGf4c8e1d0a4|LXI|LXI005|C
EGaf1681b3c8|ELE|ELE213|L
EGaf1681b3c8|FAB|FAB050|P
EGaf1681b3c8|SUP|SUP256|L
EGb1fee4d56e|BRI|BRI005|C
EGb1fee4d56e|ELE|ELE116|C
EGb1fee4d56e|FAB|FAB257|P
EGabcca77594|ELE|ELE233|C
EGabcca77594|FAB|FAB187|P
EG490bed167d|ELE|ELE203|L
EG490bed167d|FAB|FAB049|P
EG490bed167d|GEM|GEM079|P
EG88d25f25cd|ELE|ELE204|C
EG88d25f25cd|MPG|MPG010|C
EG88d25f25cd|OLD|OLD003|C
EG88d25f25cd|TER|TER003|C
EGbea2630074|AUA|AUA006|C
EGbea2630074|ELE|ELE236|C
EGbea2630074|ROS|ROS215|C
EGc8d005c198|ELE|ELE173|L
EGc8d005c198|FAB|FAB054|P
EGcfa1965293|ELE|ELE224|L
EGcfa1965293|FAB|FAB051|P
EG4a6fdc4a87|BRI|BRI008|C
EG4a6fdc4a87|ELE|ELE225|C
EG45e8afe071|EVR|EVR155|R
EG45e8afe071|FAB|FAB146|P
EGa73ce2cfd6|EVR|EVR137|M
EG5c480c595f|EVR|EVR020|M
EG5c480c595f|FAB|FAB076|P
EGb0ad745c44|EVR|EVR053|M
EGebe986f98f|EVR|EVR037|M
EGebe986f98f|FAB|FAB079|P
EG75796305fd|EVR|EVR086|L
EG75796305fd|FAB|FAB077|P
EG98dadfbcb7|EVR|EVR001|M
EGd30dae8844|EVR|EVR018|L
EGd30dae8844|FAB|FAB078|P
EG8ba1a6dcf9|EVR|EVR103|M
EG8ba1a6dcf9|FAB|FAB080|P
EG9e5c6e22a8|ARA|ARA004|C
EG9e5c6e22a8|AUR|AUR004|C
EG9e5c6e22a8|DVR|DVR004|C
EG9e5c6e22a8|KAT|KAT004|C
EG9e5c6e22a8|LGS|LGS100|P
EG9e5c6e22a8|LSS|LSS010|P
EG9e5c6e22a8|RVD|RVD004|C
EG9e5c6e22a8|TER|TER005|C
