# AUTO-GENERATED FILE — do not edit by hand. Regenerate with: Use the Story class in src/data/story.py (Story.link_monster / link_fauna / link_flora / link_food_drink / link_location).
FaunaId|Name|Description
FA66dedd6713|Vitr'eo|A majestic creature with a thick mane, crowned with a series of large crystals that grow out from the top of its skull. In addition to its dense coat, it grows large tusks on either side of its jaw.
FA433c117ce3|Kai'eo|These shy, reclusive mammals are notable for their luxurious fur. Their bodies are long and thin, with short legs and a narrow head. Their long, white fur is incredibly soft, keeping them warm in winter and cool during the summer. They shed their coats each spring along with the uppermost layer of their hide, and will grow a new coat of fur within a few days. These discarded coats are often used in clothing across Aria.
FA41fc146724|Na'shari|A large beast with a crystalline hide, the na'shari has skin harder than most forms of metal. In spite of its tough appearance, this creature is known for its docile and friendly nature. Its round eyes and fuzzy tail make the creature incredibly popular with children, who often flock to na'shari in hopes of playing with the creature.
FA23e92dfba8|Meep|These tiny, mischievous creatures are recognised by their long limbs and tails, and colourful feather crests. Meeps are usually found in the vicinity of the Everfest Carnival, travelling along with the Carnival and stealing food and shiny objects from its patrons.
FAacf174fa0e|Fianna|These majestic creatures are tall, with long flowing tails, tough skin, and massive antlers crowning the top of their head. Fianna are often used by the Everfest Carnival for their strength and placid nature, helping to move the Carnival's many attractions from location to location.
FA6818da133a|Vuurlin|A large bird of prey that flies at a high altitude, only descending to roost or to attack vulnerable prey. When in flight, the tips of their feathers catch alight, creating flames that streak behind them as they soar through the sky. They're reliable messengers, and are often used by the royal court and the many generals of Volcor, due to the vuurlin's keen intelligence and powerful wings.
FA8d0592be3a|Longma|Despite their vague resemblance, longma are larger than the mounts used by Solana, ink-black in colour and covered in a dense coat of fur that helps to protect them from embers. Longma store heat within their bodies as a source of energy, smoke escaping their nostrils with every exhale. These hardy creatures are excellent for long-distance travel, able to withstand the heat of Volcor's landscape.
FAb9bb162318|Ryoki|These are small creatures, similar in appearance to fish, that inhabit the lava streams and rivers of Volcor. Despite the immense heat, these creatures thrive in the extreme conditions, lurking beneath the glowing surface of the magma. While their scales are almost black, their 'fins' catch alight when they break the surface of the lava, leaping from stream to stream.
FAac25026755|Morrows|These tiny wisps are artificially created by the wizards of Volcor; puffs of smoke brought to life by a breath of aether. Once formed, they subsist entirely on embers, flitting to and fro amongst the fiery landscape.
FA10c43b7286|Apophis|A large serpent with barbed scales, which can be found lurking within larger bodies of magma, storing energy and lying in wait. These creatures move with Volcor's lava flows, moving through the magma to feast on those caught in the flow's path. While they can occasionally be found on land, they move much more slowly, and are thus vulnerable to attack.
