# AUTO-GENERATED FILE — do not edit by hand. Regenerate with: python3 src/data/create_heroes_csv.py
CanonicalId|CanonicalSlug|CanonicalHero
CNb6ce517916|arakni-huntsman|Arakni
CN9e7e17ea4a|arakni-solitary-confinement|Arakni
CN925a43d42d|arakni-web-of-deceit|Arakni
CNc8251d848e|aurora|Aurora
CNc0e0175a17|azalea|Azalea
CN9e7bc6878f|benji|Benji
CN5fa4b480fe|betsy|Betsy
CNb4bd8fc766|blaze|Blaze
CNa5626d4790|bolfar|Bolfar
CNc0f3698088|boltyn|Boltyn
CN962665711e|bravo|Bravo
CNc26c1da353|brevant|Brevant
CNaf6b0d806b|briar|Briar
CNdd308b32de|brutus|Brutus
CN1add1ef309|chane|Chane
CN4872a2f0f8|cindra|Cindra
CNb73a874b55|crix|Crix
CNf331996372|dash|Dash
CNa17c9aaa61|data|Data Doll MKII
CN8aaf1313d0|dorinthea|Dorinthea
CN1625be7b82|dromai|Dromai
CNf9430dadc9|emperor|Emperor
CN27613a7538|enigma|Enigma
CN3d60b2a09f|fai|Fai
CN15a4444bd9|fang|Fang
CN73262ad033|florian|Florian
CN05596106fc|frankie|Frankie
CN57eed2248f|genis|Genis Wotchuneed
CN094d03551d|gravy|Gravy Bones
CNe5b3d36162|hala|Hala
CN52881db6dd|ira|Ira
CNf9f0b0e9c9|iyslander|Iyslander
CN2f819c5685|jarl|Jarl Vetreiði
CN3eef87363e|kano|Kano
CNabbb048b33|kassai|Kassai
CN1a43b35dfa|katsu|Katsu
CN8e90acf753|kavdaen|Kavdaen
CN9debd7bf7b|kayo|Kayo
CN5ed2197785|kox|Kox
CN3d9cc96bb6|levia|Levia
CNff86d77767|lexi|Lexi
CNfac0a7f324|lyath|Lyath Goldmane
CN01c5443111|marlynn|Marlynn
CN121e052239|maxx|Maxx Nitro
CN536c1bd4a0|melody|Melody
CNf2ce6e465c|nuu|Nuu
CN6a7549d4d5|oldhim|Oldhim
CN080d9cf1ee|olympia|Olympia
CNdc4280e42e|oscilio|Oscilio
CNe683652940|pleiades|Pleiades
CN0dce55eeab|prism|Prism
CN967495f672|puffin|Puffin
CN020341836c|reya|Reya
CNb6ec6aa5ed|rhinar|Rhinar
CN7cac1c0104|riptide|Riptide
CNf87fce799e|ruudi|Ruu'di
CN7ecb66603a|scurv|Scurv
CN8976ec95a3|shiyana|Shiyana
CN60e559aefc|squizzyfloof|Squizzy & Floof
CN03651c65d2|taipanis|Taipanis
CN5d74ae093a|taylor|Taylor
CNe4597f9ec7|teklovossen|Teklovossen
CN75fa82dd35|terra|Terra
CN928ff5fde9|theryon|Theryon
CN0cc77e9ca9|tuffnut|Tuffnut
CN8290196468|uzuri|Uzuri
CN39da901bf4|valda|Valda
CN32ac34429d|verdance|Verdance
CN88fa846e5f|victor|Victor Goldmane
CNd58f961090|viserai|Viserai
CNdeac380ca2|vynnset|Vynnset
CN2948f6254b|yoji|Yoji
CN266d235124|yorick|Yorick
CN3fb05a163b|zen|Zen
