# AUTO-GENERATED FILE — do not edit by hand. Regenerate with: python3 src/data/create_heroes_csv.py
HeroGameId|CardName|CanonicalId|ClassIds|TalentIds|Health|Intellect|AbilityText|Types
HG983f477527|Ira, Crimson Haze|CN52881db6dd|CL04a4fce796||20|4|Your second attack each turn gets +1{p}.|Ninja, Hero, Young
HGb93061d4b3|Bravo|CN962665711e|CL8060afda51||20|4|**Action** - {r}{r}: Until end of turn, your attack action cards with cost 3 or more get **dominate**. **Go again**|Guardian, Hero, Young
HG0ea8dc5daf|Bravo, Showstopper|CN962665711e|CL8060afda51||40|4|**Action** - {r}{r}: Until end of turn, your attack action cards with cost 3 or greater gains **dominate**. **Go again**|Guardian, Hero
HGcdafcbb46d|Dorinthea|CN8aaf1313d0|CLf4c16fcffe||20|4|**Once per turn Effect** - When a weapon you control hits, you may attack an additional time with that weapon this turn.|Warrior, Hero, Young
HG8407114c64|Dorinthea Ironsong|CN8aaf1313d0|CLf4c16fcffe||40|4|**Once per turn Effect** - When a weapon you control hits, you may attack an additional time with that weapon this turn.|Warrior, Hero
HGc4ec41d4a9|Katsu|CN1a43b35dfa|CL04a4fce796||20|4|The first time an attack action card you control hits each turn, you may discard a card with cost 0. If you do, search your deck for a card with **combo**, banish it face up, then shuffle your deck. You may play it this turn.|Ninja, Hero, Young
HG921b49059d|Katsu, the Wanderer|CN1a43b35dfa|CL04a4fce796||40|4|The first time an attack action card you control hits each turn, you may discard a card with cost 0. If you do, search your deck for a card with **combo**, banish it face up, then shuffle your deck. You may play it this turn.|Ninja, Hero
HGb968d2921a|Rhinar|CNb6ec6aa5ed|CL48a111b581||20|4|Whenever you discard a card with 6 or more {p} during your action phase, **intimidate**.|Brute, Hero, Young
HG07091db490|Rhinar, Reckless Rampage|CNb6ec6aa5ed|CL48a111b581||40|4|Whenever you discard a card with 6 or more {p} during your action phase, **intimidate**.|Brute, Hero
HG1d2e3423ed|Azalea|CNc0e0175a17|CLe8126c64c3||20|4|**Once per Turn Action** - 0: Put a card from your arsenal on the bottom of your deck. If you do, put the top card of your deck face up into your arsenal. If it's an arrow card, it gains **dominate** until end of turn. **Go again**|Ranger, Hero, Young
HGc51436acf5|Azalea, Ace in the Hole|CNc0e0175a17|CLe8126c64c3||40|4|**Once per Turn Action** - 0: Put a card from your arsenal on the bottom of your deck. If you do, put the top card of your deck face up into your arsenal. If it's an arrow card, it gains **dominate** until end of turn. **Go again**|Ranger, Hero
