# AUTO-GENERATED FILE — do not edit by hand. Regenerate with: python3 src/data/create_heroes_csv.py
HeroGameId|SetId|CardId|Rarity
HG983f477527|1HP|1HP089|C
HG983f477527|CRU|CRU046|C
HG983f477527|HER|HER000|P
HG983f477527|IRA|IRA001|P
HG983f477527|TCC|TCC077|C
HGb93061d4b3|1HP|1HP044|C
HGb93061d4b3|BVO|BVO002|T
HGb93061d4b3|HER|HER006|P
HGb93061d4b3|HER|HER055|P
HGb93061d4b3|MPG|MPG129|V
HGb93061d4b3|WTR|WTR039|T
HGb93061d4b3|XXX|XXX002|P
HG0ea8dc5daf|1HP|1HP043|C
HG0ea8dc5daf|BVO|BVO001|C
HG0ea8dc5daf|CRU|CRU022|C
HG0ea8dc5daf|HER|HER002|P
HG0ea8dc5daf|HER|HER022|P
HG0ea8dc5daf|WIN|WIN002|P
HG0ea8dc5daf|WTR|WTR038|T
HGcdafcbb46d|1HP|1HP139|C
HGcdafcbb46d|HER|HER008|P
HGcdafcbb46d|HER|HER057|P
HGcdafcbb46d|TEA|TEA002|T
HGcdafcbb46d|WTR|WTR114|T
HGcdafcbb46d|XXX|XXX001|P
HG8407114c64|1HP|1HP138|C
HG8407114c64|CRU|CRU076|C
HG8407114c64|HER|HER004|P
HG8407114c64|HER|HER024|P
HG8407114c64|HER|HER126|P
HG8407114c64|TEA|TEA001|C
HG8407114c64|WIN|WIN004|P
HG8407114c64|WTR|WTR113|T
HGc4ec41d4a9|1HP|1HP087|C
HGc4ec41d4a9|HER|HER007|P
HGc4ec41d4a9|HER|HER056|P
HGc4ec41d4a9|KAT|KAT001|C
HGc4ec41d4a9|KSU|KSU002|T
HGc4ec41d4a9|OUT|OUT046|T
HGc4ec41d4a9|WTR|WTR077|T
HGc4ec41d4a9|XXX|XXX004|P
HG921b49059d|1HP|1HP086|C
HG921b49059d|CRU|CRU045|C
HG921b49059d|HER|HER003|P
HG921b49059d|HER|HER023|P
HG921b49059d|KSU|KSU001|C
HG921b49059d|OUT|OUT045|T
HG921b49059d|WIN|WIN003|P
HG921b49059d|WTR|WTR076|T
HGb968d2921a|1HP|1HP002|C
HGb968d2921a|HER|HER005|P
HGb968d2921a|HER|HER054|P
HGb968d2921a|HVY|HVY004|T
HGb968d2921a|RHI|RHI001|R
HGb968d2921a|RNR|RNR002|T
HGb968d2921a|RVD|RVD001|M
HGb968d2921a|WTR|WTR002|T
HGb968d2921a|XXX|XXX003|P
HG07091db490|1HP|1HP001|C
HG07091db490|CRU|CRU001|C
HG07091db490|HER|HER001|P
