# AUTO-GENERATED FILE — do not edit by hand. Regenerate with: python3 src/data/create_sets_csv.py
SetId|SetTypeId|SetName|InitialReleaseDate
1HB|ST0143717ab6|History Pack 1 - Bravo Blitz Deck|2023-02-24T00:00:00.000Z
1HD|ST0143717ab6|History Pack 1 - Dash Blitz Deck|2023-02-24T00:00:00.000Z
1HK|ST0143717ab6|History Pack 1 - Kano Blitz Deck|2023-02-24T00:00:00.000Z
1HP|STd8e2e91515|History Pack 1|2022-05-06T00:00:00.000Z
1HR|ST0143717ab6|History Pack 1 - Rhinar Blitz Deck|2023-02-24T00:00:00.000Z
1HT|ST0143717ab6|History Pack 1 - Dorinthea Blitz Deck|2023-02-24T00:00:00.000Z
1HV|ST0143717ab6|History Pack 1 - Viserai Blitz Deck|2023-02-24T00:00:00.000Z
2HP|STd8e2e91515|History Pack 2 – Black Label|
AAC|STfcaaf6a22f|Armory Deck - Arakni|2025-12-12T00:00:00.000Z
AAZ|STfcaaf6a22f|Armory Deck - Azalea|2024-08-02T00:00:00.000Z
AGB|STfcaaf6a22f|Armory Deck - Gravy Bones|2025-05-30T00:00:00.000Z
AIO|STfcaaf6a22f|Armory Deck - Dash I/O|2024-10-18T00:00:00.000Z
AJV|STfcaaf6a22f|Armory Deck Origins - Jarl Vetreiði|2024-11-29T00:00:00.000Z
AKO|STfcaaf6a22f|Armory Deck - Kayo|2024-05-03T00:00:00.000Z
AMX|STfcaaf6a22f|Amory Deck - Maxx|2025-04-17T00:00:00.000Z
APR|STfcaaf6a22f|Armory Deck Legends - Prism|2025-07-24T00:00:00.000Z
APS|STfcaaf6a22f|Armory Deck - Pleiades|2025-09-19T00:00:00.000Z
ARA|ST526cd03a42|Arakni Blitz Deck|2023-03-24T00:00:00.000Z
ARC|ST87478277a5|Arcane Rising|2020-03-27T00:00:00.000Z
ARK|ST526cd03a42|Arakni Blitz Deck|2025-01-31T00:00:00.000Z
ARR|STfcaaf6a22f|Armory Deck - Rhinar|2025-11-14T00:00:00.000Z
ASB|STfcaaf6a22f|Armory Deck - Boltyn|2024-07-12T00:00:00.000Z
ASR|STfcaaf6a22f|Armory Deck - Ira|2025-07-11T00:00:00.000Z
AST|STfcaaf6a22f|Armory Deck - Aurora|2025-03-14T00:00:00.000Z
AUA|ST526cd03a42|Aurora Blitz Deck|2024-09-20T00:00:00.000Z
AUR|ST7fc7966b3b|First Strike - Aurora|2024-08-23T00:00:00.000Z
AVS|STfcaaf6a22f|Armory Deck Legends - Viserai|2025-07-24T00:00:00.000Z
AZL|ST526cd03a42|Azalea Blitz Deck|2023-03-24T00:00:00.000Z
BDD|ST4dde9990af|Bravo Demo Deck|2025-08-08T00:00:00.000Z
BEN|ST526cd03a42|Benji Blitz Deck|2023-03-24T00:00:00.000Z
BET|ST526cd03a42|Betsy Blitz Deck|2024-02-02T00:00:00.000Z
BOL|ST526cd03a42|Boltyn Blitz Deck|2021-05-07T00:00:00.000Z
BRI|ST526cd03a42|Briar Blitz Deck|2021-11-24T00:00:00.000Z
BVO|ST3634cb99aa|Bravo Hero Deck|2019-10-11T00:00:00.000Z
CHN|ST526cd03a42|Chane Blitz Deck|2021-05-07T00:00:00.000Z
CIN|ST526cd03a42|Cindra Blitz Deck|2025-01-31T00:00:00.000Z
CRU|ST48cd9f30bc|Crucible of War|2020-08-28T00:00:00.000Z
DRO|ST526cd03a42|Dromai Blitz Deck|2022-06-24T00:00:00.000Z
DTD|ST48cd9f30bc|Dusk till Dawn|2023-07-23T00:00:00.000Z
DVR|ST6f903c3145|Classic Battles: Rhinar vs Dorinthea – Dorinthea|2022-05-27T00:00:00.000Z
DYN|ST858a95be59|Dynasty|2022-11-11T00:00:00.000Z
ELE|ST87478277a5|Tales of Aria|2021-09-24T00:00:00.000Z
ENG|ST526cd03a42|Enigma Blitz Deck|2024-05-31T00:00:00.000Z
EVO|ST858a95be59|Bright Lights|2023-10-06T00:00:00.000Z
EVR|ST48cd9f30bc|Everfest|2022-02-04T00:00:00.000Z
FAB|ST1ac8c9771b|Promos|
FAI|ST526cd03a42|Fai Blitz Deck|2022-06-24T00:00:00.000Z
FLR|ST526cd03a42|Florian Blitz Deck|2024-09-20T00:00:00.000Z
FNG|ST526cd03a42|Fang Blitz Deck|2025-01-31T00:00:00.000Z
GEM|ST1ac8c9771b|GEM Pack Promos|
HER|ST1ac8c9771b|Hero Card Promos|
HNT|ST87478277a5|The Hunted|2025-01-31T00:00:00.000Z
HVY|ST87478277a5|Heavy Hitters|2024-02-02T00:00:00.000Z
IRA|ST00678b0ea7|Ira Welcome Deck|2019-08-31T00:00:00.000Z
JDG|ST1ac8c9771b|Judge Unique Promos|
KAT|ST526cd03a42|Katsu Blitz Deck|2023-03-24T00:00:00.000Z
KSI|ST526cd03a42|Kassai Blitz Deck|2024-02-02T00:00:00.000Z
KSU|ST3634cb99aa|Katsu Hero Deck|2019-10-11T00:00:00.000Z
KYO|ST526cd03a42|Kayo Blitz Deck|2024-02-02T00:00:00.000Z
LEV|ST526cd03a42|Levia Blitz Deck|2021-05-07T00:00:00.000Z
LGS|ST1ac8c9771b|Local Game Store Promos|
LSS|ST1ac8c9771b|LSS Promos|
LXI|ST526cd03a42|Lexi Blitz Deck|2021-11-24T00:00:00.000Z
MON|ST87478277a5|Monarch|2021-05-07T00:00:00.000Z
MPG|STae8fdcc03a|Mastery Pack Guardian|2025-08-08T00:00:00.000Z
MST|ST87478277a5|Part the Mistveil|2024-05-31T00:00:00.000Z
NUU|ST526cd03a42|Nuu Blitz Deck|2024-05-31T00:00:00.000Z
OLA|ST526cd03a42|Olympia Blitz Deck|2024-02-02T00:00:00.000Z
OLD|ST526cd03a42|Oldhim Blitz Deck|2021-11-24T00:00:00.000Z
OSC|ST526cd03a42|Oscilio Blitz Deck|2024-09-20T00:00:00.000Z
OUT|ST87478277a5|Outsiders|2023-03-24T00:00:00.000Z
OXO|ST1ac8c9771b|Slingshot Underground Promos|
PSM|ST526cd03a42|Prism Blitz Deck|2021-05-07T00:00:00.000Z
RHI|ST526cd03a42|Rhinar Blitz Deck|2024-02-02T00:00:00.000Z
RIP|ST526cd03a42|Riptide Blitz Deck|2023-03-24T00:00:00.000Z
RNR|ST3634cb99aa|Rhinar Hero Deck|2019-10-11T00:00:00.000Z
ROS|ST87478277a5|Rosetta|2024-09-20T00:00:00.000Z
RVD|ST6f903c3145|Classic Battles: Rhinar vs Dorinthea – Rhinar|2022-05-27T00:00:00.000Z
SEA|ST87478277a5|High Seas|2025-06-06T00:00:00.000Z
SMP|ST48cd9f30bc|Smash Palace|2025-08-29T00:00:00.000Z
SUP|ST48cd9f30bc|Super Slam|2025-09-26T00:00:00.000Z
TCC|ST14e59cce5d|Round the Table: TCC X LSS|2023-09-29T00:00:00.000Z
TEA|ST3634cb99aa|Dorinthea Hero Deck|2019-10-11T00:00:00.000Z
TER|ST7fc7966b3b|First Strike - Terra|2024-08-23T00:00:00.000Z
UPR|ST87478277a5|Uprising|2022-06-24T00:00:00.000Z
UZU|ST526cd03a42|Uzuri Blitz Deck|2023-03-24T00:00:00.000Z
VER|ST526cd03a42|Verdance Blitz Deck|2024-09-20T00:00:00.000Z
VIC|ST526cd03a42|Victor Goldmane Blitz Deck|2024-02-02T00:00:00.000Z
WIN|ST92969bb9ea|Worlds / Pro Tour Prize Cards|
WOD|ST526cd03a42|Arakni, Web of Deceit Blitz Deck|2025-01-31T00:00:00.000Z
WTR|ST87478277a5|Welcome to Rathe|2019-10-11T00:00:00.000Z
XXX|ST218948d76b|OP Event Tokens|
ZEN|ST526cd03a42|Zen Blitz Deck|2024-05-31T00:00:00.000Z
