# AUTO-GENERATED FILE — do not edit by hand. Regenerate with: Use the Story class in src/data/story.py (Story.link_* / Story.remove).
StoryId|FaunaId
ST0532bb6c1d|FA2df821a03c
ST14c0dec3ef|FA0b949f26e2
ST14c0dec3ef|FA1f10fd1984
ST14c0dec3ef|FA2cf48e2ed0
ST14c0dec3ef|FA7565189539
ST14c0dec3ef|FA9f5e75235f
ST180c72d2d2|FA1c1a7ee868
ST180c72d2d2|FA801ed8ccd4
ST1b9464e42e|FA242e1cb3fe
ST2693762956|FA4a332a5def
ST2693762956|FAcf5a312db5
ST3ac42a6b1f|FA83cf5b77b9
ST3ac42a6b1f|FAb97e3a4422
ST63ef037729|FA358993be7c
ST7bfe1edd5b|FA8c85b7ba2f
ST8104c7d306|FAf408e962cb
ST84affd0412|FAd1f4884375
ST8a72958805|FA358993be7c
ST963904b43c|FA23e92dfba8
ST963904b43c|FA41fc146724
ST963904b43c|FA433c117ce3
ST963904b43c|FA66dedd6713
ST963904b43c|FAacf174fa0e
STa09c209240|FA7527554de7
STa09c209240|FAecb6db7b25
STa0a1f64e14|FA4895efe22d
STa0a1f64e14|FAdae735d957
STa743f66f37|FA10c43b7286
STa743f66f37|FA6818da133a
STa743f66f37|FA8d0592be3a
STa743f66f37|FAac25026755
STa743f66f37|FAb9bb162318
STad5681f2c1|FAa5ab92bf98
STad5681f2c1|FAd995691c9f
STdaec47f6c9|FA1767fef132
STdaec47f6c9|FA3e42b53c29
STdaec47f6c9|FAaee1610e81
STdaec47f6c9|FAcb3b255c72
STdaec47f6c9|FAd8efb2e4fe
STe145ac197d|FAd1b3a39136
STeec230bec9|FA517ffce87a
STeec230bec9|FA686d22d695
STeec230bec9|FA831c01548e
