# AUTO-GENERATED FILE — do not edit by hand. Regenerate with: Use the Story class in src/data/story.py (Story.link_* / Story.remove).
StoryId|CanonicalId
ST0b323dee1e|CN7cac1c0104
ST0b323dee1e|CN8290196468
ST0b323dee1e|CN8e90acf753
ST0b323dee1e|CN925a43d42d
ST0b323dee1e|CN9e7e17ea4a
ST0b323dee1e|CNb6ce517916
ST0b323dee1e|CNc0e0175a17
ST0c78c57e64|CN7ecb66603a
ST109cc12e9f|CNe5b3d36162
ST2bc3f45fa9|CN3d60b2a09f
ST31f66ea35c|CN2f819c5685
ST31f66ea35c|CN32ac34429d
ST31f66ea35c|CN536c1bd4a0
ST31f66ea35c|CN57eed2248f
ST31f66ea35c|CN6a7549d4d5
ST31f66ea35c|CN75fa82dd35
ST31f66ea35c|CNaf6b0d806b
ST31f66ea35c|CNdc4280e42e
ST31f66ea35c|CNff86d77767
ST42d14ec4c3|CN1add1ef309
ST42d14ec4c3|CN3d9cc96bb6
ST42d14ec4c3|CNc0f3698088
ST42d14ec4c3|CNd58f961090
ST42d14ec4c3|CNdeac380ca2
ST42d14ec4c3|CNe5b3d36162
ST5df7531008|CN1625be7b82
ST5df7531008|CN4872a2f0f8
ST5df7531008|CNabbb048b33
ST5df7531008|CNf9430dadc9
ST706cd34be8|CNf331996372
ST7986e83301|CN8290196468
ST7986e83301|CN925a43d42d
ST7986e83301|CN9e7e17ea4a
ST7986e83301|CN6c7fd4f47f
ST7986e83301|CNb6ce517916
ST7986e83301|CNe4597f9ec7
ST7986e83301|CNf331996372
ST7a3506362b|CN121e052239
ST7a3506362b|CN6c7fd4f47f
ST7a3506362b|CNe4597f9ec7
ST7a3506362b|CNf331996372
ST7aa76e200d|CN3d9cc96bb6
ST7ae48c411d|CN0dce55eeab
ST7ae48c411d|CNc0f3698088
ST7cb07da6d8|CN39da901bf4
ST7cb07da6d8|CN962665711e
ST8104c7d306|CN2f819c5685
ST8104c7d306|CN39da901bf4
ST8104c7d306|CN536c1bd4a0
ST8104c7d306|CN75fa82dd35
ST86a4863826|CN925a43d42d
ST86a4863826|CN9e7e17ea4a
ST86a4863826|CNb6ce517916
ST8a416f39aa|CN8290196468
ST8a416f39aa|CN925a43d42d
ST8a416f39aa|CN9e7e17ea4a
ST8a416f39aa|CNb6ce517916
ST8a72958805|CN9debd7bf7b
ST8a72958805|CNe5b3d36162
ST8a72958805|CNfac0a7f324
ST8d4bbe4211|CNc0f3698088
ST94ef50276b|CN2f819c5685
ST94ef50276b|CN3fb05a163b
ST94ef50276b|CN75fa82dd35
ST94ef50276b|CN925a43d42d
ST94ef50276b|CN9e7e17ea4a
ST94ef50276b|CNb6ce517916
ST94ef50276b|CNdc4280e42e
STa75ebaa139|CN962665711e
STa95db10869|CN1a43b35dfa
STa95db10869|CN27613a7538
STa95db10869|CN3fb05a163b
STa95db10869|CN52881db6dd
STa95db10869|CN8290196468
STaf9471cfdd|CNc0f3698088
STbb3f133110|CNf2ce6e465c
STc07612accc|CN0cc77e9ca9
STc07612accc|CN9debd7bf7b
STc07612accc|CNfac0a7f324
STc0a27351c2|CNc0f3698088
STc0a27351c2|CNc26c1da353
STc0a27351c2|CNe5b3d36162
STc574efb625|CN0dce55eeab
STc574efb625|CN1add1ef309
STc574efb625|CNf8bd44ef37
STc574efb625|CN8976ec95a3
STc574efb625|CN8aaf1313d0
STc574efb625|CNc0f3698088
STc574efb625|CNc26c1da353
STc574efb625|CNe5b3d36162
STdaec47f6c9|CN094d03551d
STdaec47f6c9|CN967495f672
STe145ac197d|CN2f819c5685
STe145ac197d|CN32ac34429d
STe145ac197d|CN73262ad033
STe145ac197d|CNc8251d848e
STee09244564|CN0dce55eeab
STf8459df1c9|CN3d60b2a09f
STfbcdcdb03c|CNfac0a7f324
